,variable,class,description
3,size_flag,character,Size category of the built-up area or built-up area subdivision based on resident population (from Census 2011)
22,activity_at_age_19_employment_with_earnings_above_0,numeric,Proportion of the town/city's 2012/13 key stage 4 cohort in sustained employment at the age 19.
